B,G,R,Classes
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
200,211,255,1
199,210,254,1
199,210,254,1
198,209,253,1
198,209,253,1
71,82,120,1
71,82,120,1
71,82,120,1
72,83,121,1
73,84,122,1
74,85,123,1
74,85,123,1
74,85,123,1
71,82,120,1
72,83,121,1
72,83,121,1
72,83,121,1
73,84,122,1
73,84,122,1
73,84,122,1
74,85,123,1
76,84,124,1
77,85,125,1
78,86,126,1
76,84,124,1
74,82,122,1
74,82,122,1
76,84,124,1
78,86,126,1
81,89,129,1
82,90,130,1
84,92,132,1
84,92,132,1
83,91,131,1
82,90,130,1
84,92,132,1
86,94,134,1
82,90,130,1
83,91,131,1
84,92,132,1
85,93,133,1
85,93,133,1
85,93,133,1
84,92,132,1
84,92,132,1
82,90,130,1
81,89,129,1
79,87,127,1
79,87,127,1
81,89,129,1
82,90,130,1
81,89,129,1
79,89,129,1
83,93,133,1
81,93,133,1
82,94,134,1
82,94,134,1
82,94,134,1
81,93,133,1
80,92,132,1
80,92,132,1
79,91,131,1
79,91,131,1
79,91,131,1
79,91,131,1
79,91,131,1
79,91,131,1
79,91,131,1
77,92,131,1
75,90,129,1
75,90,129,1
78,88,128,1
79,87,127,1
80,86,129,1
79,85,128,1
75,84,128,1
69,85,128,1
65,86,131,1
158,183,227,1
151,180,225,1
153,184,229,1
158,187,232,1
166,190,236,1
168,188,236,1
170,190,238,1
173,191,244,1
175,193,246,1
179,197,250,1
185,202,253,1
188,205,254,1
192,208,255,1
194,209,255,1
196,209,253,1
203,212,255,1
208,217,255,1
215,223,255,1
221,227,255,1
225,230,255,1
223,228,255,1
222,225,255,1
218,223,255,1
209,215,250,1
208,216,253,1
209,217,254,1
209,217,254,1
209,217,254,1
209,217,254,1
208,216,253,1
208,216,253,1
208,216,253,1
208,216,253,1
208,216,253,1
207,215,252,1
206,214,251,1
205,213,250,1
205,213,250,1
203,212,249,1
207,216,253,1
205,217,253,1
205,217,253,1
206,218,254,1
206,218,254,1
207,219,255,1
207,218,255,1
207,218,255,1
204,215,253,1
204,215,253,1
204,214,254,1
203,213,253,1
203,213,253,1
203,213,253,1
203,212,255,1
203,212,255,1
207,215,255,1
207,215,255,1
206,214,254,1
206,214,254,1
206,214,254,1
206,214,254,1
205,213,253,1
205,213,253,1
201,209,249,1
204,212,252,1
207,215,255,1
208,216,255,1
81,50,211,2
80,49,210,2
79,48,209,2
78,47,208,2
77,49,208,2
78,50,209,2
76,48,207,2
80,52,211,2
83,55,214,2
82,54,213,2
84,54,213,2
85,55,214,2
84,54,213,2
82,52,211,2
81,56,214,2
81,53,212,2
81,53,212,2
86,54,213,2
84,52,211,2
84,50,210,2
86,53,211,2
86,53,211,2
84,55,212,2
85,56,213,2
84,56,210,2
81,53,207,2
81,50,205,2
83,51,206,2
84,53,206,2
86,52,206,2
81,51,204,2
181,178,134,2
52,23,226,2
50,20,225,2
48,18,223,2
50,22,229,2
52,24,231,2
51,22,231,2
55,26,235,2
54,25,235,2
50,21,231,2
53,21,234,2
60,28,241,2
64,30,244,2
61,24,240,2
60,23,239,2
64,28,242,2
62,24,238,2
70,32,246,2
68,27,242,2
73,32,247,2
68,25,242,2
80,37,254,2
76,31,248,2
74,29,246,2
88,43,255,2
79,35,250,2
69,27,242,2
89,48,255,2
89,48,255,2
91,50,255,2
81,40,251,2
85,46,255,2
78,45,250,2
84,53,255,2
81,49,255,2
65,33,241,2
55,23,234,2
59,27,240,2
62,31,246,2
61,30,247,2
47,17,236,2
40,9,230,2
41,10,231,2
49,18,239,2
174,173,123,2
174,173,123,2
174,173,123,2
174,173,123,2
174,173,123,2
174,173,123,2
173,172,122,2
173,172,122,2
172,171,121,2
172,171,121,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
171,170,120,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
170,169,119,2
169,168,118,2
167,166,116,2
165,164,114,2
164,163,113,2
165,164,114,2
166,165,115,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
167,163,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
165,164,114,2
255,255,255,2
200,199,161,2
200,199,161,2
200,199,161,2
200,199,161,2
200,199,161,2
200,199,161,2
200,199,161,2
199,198,160,2
199,198,160,2
199,198,160,2
199,198,160,2
199,198,160,2
198,197,159,2
198,197,159,2
198,197,159,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
198,198,158,2
200,199,161,2
199,198,160,2
198,197,159,2
198,197,159,2
121,151,102,2
121,151,102,2
122,152,103,2
123,153,104,2
123,153,104,2
122,152,103,2
121,151,102,2
123,153,104,2
126,156,107,2
128,158,109,2
201,200,162,2
201,200,162,2
131,143,149,2
138,150,156,2
135,147,153,2
132,143,151,2
128,139,147,2
125,136,144,2
124,135,143,2
123,134,142,2
123,134,142,2
128,140,146,2
128,140,146,2
129,141,147,2
132,144,150,2
138,150,156,2
145,157,163,2
197,196,158,2
197,196,158,2
197,196,158,2
48,72,208,2
49,73,209,2
54,78,214,2
58,82,218,2
58,85,219,2
53,80,214,2
48,75,209,2
50,77,211,2
55,82,216,2
57,84,218,2
54,81,215,2
50,77,211,2
50,77,211,2
58,85,219,2
191,190,152,2
191,190,152,2
191,190,152,2
191,190,152,2
191,190,152,2
191,190,152,2
191,190,152,2
191,190,152,2
188,187,149,2
189,188,150,2
193,192,154,2
197,196,158,2
194,193,155,2
190,189,151,2
189,188,150,2
192,191,153,2
192,191,153,2
193,192,154,2
190,189,151,2
186,185,147,2
184,184,144,2
186,186,146,2
189,189,149,2
189,189,149,2
189,189,149,2
190,190,150,2
191,191,151,2
191,191,151,2
189,190,148,2
188,189,147,2
187,188,146,2
187,188,146,2
189,187,147,2
189,186,148,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
190,187,149,2
188,185,147,2
188,185,147,2
188,185,147,2
188,185,147,2
188,185,147,2
188,185,147,2
188,185,147,2
188,185,147,2
189,186,148,2
187,184,146,2
186,183,145,2
189,186,148,2
190,187,149,2
189,186,148,2
190,187,149,2
192,189,151,2
190,188,148,2
190,188,148,2
190,188,148,2
190,188,148,2
190,188,148,2
190,188,148,2
190,188,148,2
190,188,148,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
188,186,146,2
188,186,146,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
189,187,147,2
188,186,146,2
188,186,146,2
188,186,146,2
188,186,146,2
188,186,146,2
191,191,151,2
190,190,150,2
188,188,148,2
186,186,146,2
185,185,145,2
184,184,144,2
183,183,143,2
183,183,143,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
187,187,147,2
186,187,145,2
186,187,145,2
185,186,144,2
185,186,144,2
186,187,145,2
187,188,144,2
191,192,148,2
190,191,147,2
181,182,138,2
170,172,126,2
163,165,119,2
164,166,120,2
167,169,123,2
167,170,121,2
174,174,126,2
173,173,125,2
166,166,118,2
168,168,120,2
169,169,121,2
170,170,122,2
169,169,121,2
148,148,100,2
76,76,28,2
70,70,22,2
65,65,17,2
67,67,19,2
68,68,22,2
67,67,21,2
65,65,19,2
64,64,18,2
66,65,21,2
66,65,21,2
64,62,21,2
64,62,21,2
64,63,25,2
62,61,23,2
52,51,17,2
42,40,9,2
34,34,4,2
32,31,3,2
26,26,2,2
24,24,0,2
21,22,2,2
21,22,2,2
22,23,3,2
22,23,3,2
21,21,3,2
21,21,3,2
22,22,4,2
23,23,5,2
24,24,8,2
23,23,7,2
19,19,3,2
16,16,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
15,14,0,2
16,15,1,2
16,15,1,2
16,15,1,2
16,15,1,2
16,15,1,2
16,15,1,2
16,15,1,2
16,15,1,2
20,17,3,2
20,17,3,2
20,17,3,2
21,18,4,2
21,18,4,2
21,18,4,2
21,18,4,2
21,18,4,2
20,17,3,2
20,17,3,2
20,17,3,2
20,17,3,2
20,17,3,2
20,17,3,2
20,17,3,2
20,17,3,2
18,16,5,2
19,18,4,2
21,18,3,2
20,18,0,2
21,18,0,2
28,27,1,2
48,46,16,2
65,64,30,2
67,64,26,2
67,65,24,2
70,67,23,2
70,67,22,2
73,69,21,2
74,70,22,2
74,70,22,2
74,70,22,2
72,70,22,2
72,70,22,2
73,72,22,2
73,72,22,2
74,73,23,2
75,74,24,2
75,74,24,2
75,74,24,2
77,74,23,2
85,82,31,2
78,75,24,2
73,70,19,2
96,94,40,2
132,130,76,2
145,143,89,2
139,137,83,2
145,144,88,2
145,144,88,2
146,145,89,2
147,146,90,2
148,147,91,2
149,148,92,2
149,148,92,2
150,149,93,2
151,150,94,2
151,150,94,2
152,151,95,2
153,152,96,2
154,153,97,2
